"","Gene","noIR1","noIR2","IR1","IR2"
"3171","ENSMUSG00000021590",7.14542246381078,5.43114688629675,1.65138061215248,0.923756889005024
"3172","ENSMUSG00000021591",650.233444206781,583.305175588271,518.533512215878,541.321536956944
"3173","ENSMUSG00000021592",154.8174867159,158.589489079865,139.541661726884,187.52264846802
"3174","ENSMUSG00000021594",89.3177807976348,96.6744145760822,60.2753923435655,111.774583569608
"3175","ENSMUSG00000021595",5571.04771428447,5524.56261274106,5901.20861752688,6970.66948443191
"3176","ENSMUSG00000021596",2.38180748793693,4.3449175090374,6.60552244860992,1.84751377801005
"3177","ENSMUSG00000021597",769.323818603628,835.310391112441,824.038925464087,992.114898791396
"3178","ENSMUSG00000021598",1173.04018780894,1048.21134905527,1365.6917662501,1431.82317795779
"3179","ENSMUSG00000021600",0,0,0,0
"3180","ENSMUSG00000021604",0,0,0,0
"3181","ENSMUSG00000021606",1040.84987222844,892.880548107186,847.983944340298,751.014350761085
"3182","ENSMUSG00000021607",649.042540462813,482.285843503152,400.459798446976,495.133692506693
"3183","ENSMUSG00000021608",793.141893482997,598.512386869902,590.368568844511,696.512694309788
"3184","ENSMUSG00000021609",0,0,0,0
"3185","ENSMUSG00000021610",1505.30233237614,1356.70049219693,1260.82909737842,1441.06074684784
"3186","ENSMUSG00000021611",173.871946619396,139.037360289197,81.7433403015477,108.079556013588
"3187","ENSMUSG00000021612",0,0,0,0
"3188","ENSMUSG00000021613",0,0,0,0
"3189","ENSMUSG00000021614",46.4452460147701,47.7940925994114,33.0276122430496,51.7303857842814
"3190","ENSMUSG00000021615",157.199294203837,128.175066516603,137.890281114732,136.716019572744
"3191","ENSMUSG00000021619",79.7905508458871,69.5186801445984,81.7433403015477,78.5193355654271
"3192","ENSMUSG00000021620",0,0,0,0
"3193","ENSMUSG00000021621",795.523700970934,877.673336825555,970.186109639581,1233.21544682171
"3194","ENSMUSG00000021622",0,2.1724587545187,4.95414183645744,1.84751377801005
"3195","ENSMUSG00000021624",1000.35914493351,1067.76347784594,628.350322924018,876.645287665768
"3196","ENSMUSG00000021629",2148.39035411911,2253.92595781315,1959.36309631892,2258.58559361728
"3197","ENSMUSG00000021635",522.806743602156,481.199614125892,504.496777012582,582.89059696217
"3198","ENSMUSG00000021636",1.19090374396846,4.3449175090374,2.47707091822872,3.6950275560201
"3199","ENSMUSG00000021638",0,0,0,0
"3200","ENSMUSG00000021639",1014.64998986113,896.139236238964,905.782265765635,1008.74252279349
"3201","ENSMUSG00000021640",0,0,0,3.6950275560201
"3202","ENSMUSG00000021643",38.1089198069908,38.0180282040773,40.4588249977357,48.9591151172663
"3203","ENSMUSG00000021645",621.651754351538,569.1841936839,691.102786185812,736.234240537004
"3204","ENSMUSG00000021646",202.453636474639,192.262599774905,194.037221927916,179.208836466975
"3205","ENSMUSG00000021647",0,0,0,0
"3206","ENSMUSG00000021650",527.57035857803,543.114688629675,343.487167327716,413.843086274251
"3207","ENSMUSG00000021660",5254.26731838886,5574.52916409499,5301.75745531553,5897.26397940807
"3208","ENSMUSG00000021661",276.289668600684,294.368161237284,264.220897944397,372.274026269025
"3209","ENSMUSG00000021662",0,0,0,0
"3210","ENSMUSG00000021665",140.526641788279,123.830149007566,117.248023462826,145.953588462794
"3211","ENSMUSG00000021666",674.051519086151,754.929417195249,444.221384669017,571.80551429411
"3212","ENSMUSG00000021668",377.516486838003,452.957650317149,862.020679543594,920.985618338009
"3213","ENSMUSG00000021669",1237.34898998323,1175.30018619462,1411.10473308429,1648.90604687397
"3214","ENSMUSG00000021670",3090.39521559816,3833.30347234825,3546.33986459745,4859.88499305543
"3215","ENSMUSG00000021671",777.660144811407,821.189409208069,635.781535678704,786.117112543276
"3216","ENSMUSG00000021675",0,3.25868813177805,0,2.77127066701507
"3217","ENSMUSG00000021676",35.7271123190539,31.5006519405212,30.5505413248209,32.3314911151758
"3218","ENSMUSG00000021678",0,0,0,0
"3219","ENSMUSG00000021679",0,0,0,0
"3220","ENSMUSG00000021680",8543.54345922976,8922.28810480831,4953.31614615136,6910.62528664659
"3221","ENSMUSG00000021681",2893.89609784337,2626.50263421311,2543.12614271482,2884.89276436269
"3222","ENSMUSG00000021684",5.95451871984232,17.3796700361496,34.6789928552021,32.3314911151758
"3223","ENSMUSG00000021685",0,0,0,0
"3224","ENSMUSG00000021686",3011.79556849625,2777.48851765216,2792.48461514984,3032.69386660349
"3225","ENSMUSG00000021687",2.38180748793693,0,0,0
"3226","ENSMUSG00000021690",1088.48602198718,1312.1650877293,1826.42695704064,2125.56460160056
"3227","ENSMUSG00000021692",502.561379954692,418.19831024485,577.983214253368,605.060762298291
"3228","ENSMUSG00000021693",2547.34310834854,2427.72265817465,2367.25410752058,2901.52038836478
"3229","ENSMUSG00000021694",501.370476210723,379.094052663513,850.461015258527,806.439764101386
"3230","ENSMUSG00000021696",0,1.08622937725935,4.95414183645744,4.61878444502512
"3231","ENSMUSG00000021697",743.123936236322,679.979590164353,565.597859662224,673.418772084663
"3232","ENSMUSG00000021699",0,0,0,0
"3233","ENSMUSG00000021700",4.76361497587386,1.08622937725935,1.65138061215248,1.84751377801005
"3234","ENSMUSG00000021701",0,0,0,0.923756889005024
"3235","ENSMUSG00000021702",0,0,0,0
"3236","ENSMUSG00000021703",1772.06477102507,1502.25522874968,1599.36212286968,1767.14692866661
"3237","ENSMUSG00000021704",1031.32264227669,896.139236238964,910.736407602092,1152.84859747827
"3238","ENSMUSG00000021706",376.325583094035,250.91898614691,237.798808149957,291.907176925588
"3239","ENSMUSG00000021707",1474.33883503296,1220.92182003951,1766.97725500315,1938.04195313254
"3240","ENSMUSG00000021708",0,0,1.65138061215248,1.84751377801005
"3241","ENSMUSG00000021709",3522.69327465872,3754.00872780832,5354.60163490441,5596.11923359244
"3242","ENSMUSG00000021710",740.742128748385,763.619252213323,682.020192818974,855.398879218652
"3243","ENSMUSG00000021711",614.506331887727,684.324507673391,544.955602010318,715.911588978894
"3244","ENSMUSG00000021712",444.207096500237,402.991098963219,312.936626002895,489.591151172663
"3245","ENSMUSG00000021713",919.377690343654,902.65661250252,928.901594335769,1004.12373834846
"3246","ENSMUSG00000021714",468.025171379606,367.14552951366,473.946235687761,605.060762298291
"3247","ENSMUSG00000021715",1204.00368515212,1132.9372404815,1179.08575707687,1427.20439351276
"3248","ENSMUSG00000021716",425.152636596742,488.803219766708,339.358715797334,352.875131599919
"3249","ENSMUSG00000021718",0,0,0,0
"3250","ENSMUSG00000021719",0,0,0,0
"3251","ENSMUSG00000021720",0,0,0,0
"3252","ENSMUSG00000021721",0,0,0,0
